family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
normal,0.6,200,studentized_bootstrap,0.05,0.0043588989435406,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,400,studentized_bootstrap,0.0552,0.0045674045146012,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
lognormal,0.0,10,studentized_bootstrap,0.062,0.0048231110292009,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,15,studentized_bootstrap,0.0564,0.004613850452713,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,20,studentized_bootstrap,0.0604,0.0047645289378909,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,25,studentized_bootstrap,0.06,0.0047497368348151,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,30,studentized_bootstrap,0.0584,0.0046899654582949,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,40,studentized_bootstrap,0.06,0.0047497368348151,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,50,studentized_bootstrap,0.0548,0.0045517890988049,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,75,studentized_bootstrap,0.0604,0.0047645289378909,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,100,studentized_bootstrap,0.0596,0.0047348850038834,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,150,studentized_bootstrap,0.0536,0.0045045328281632,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,200,studentized_bootstrap,0.0568,0.0046292012269937,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.0,400,studentized_bootstrap,0.0532,0.0044886416653593,2500,0.6184727929275666,0.6184727929275666,0.0024494897427831
lognormal,0.6,10,studentized_bootstrap,0.064,0.004895058733049,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,15,studentized_bootstrap,0.0704,0.0051163987334843,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,20,studentized_bootstrap,0.06,0.0047497368348151,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,25,studentized_bootstrap,0.0436,0.0040840685596595,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,30,studentized_bootstrap,0.0628,0.0048520577078184,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,40,studentized_bootstrap,0.0636,0.0048807802654903,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,50,studentized_bootstrap,0.0588,0.00470499989373,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,75,studentized_bootstrap,0.0612,0.0047939361697878,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,100,studentized_bootstrap,0.0624,0.0048376126343476,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
